Id,Original Principal Amount,Cancelled Amount,Due to the banque,Credit Status
141,1747006.71,40956.22,281497.76,Disbursed
142,150793040.6,0.0,24880851.69,Disbursed
143,3033403.66,0.0,0.0,Repaid
144,6932837.21,0.0,0.0,Repaid
145,868005.31,0.0,0.0,Repaid
146,9663135.32,0.0,0.0,Repaid
147,9035201.81,0.0,0.0,Repaid
148,14154285.98,0.0,2335457.17,Disbursed
149,4945091.29,0.0,0.0,Repaid
150,600.0,0.0,0.0,Repaid
151,17575314.5,7286000.0,1697737.02,Disbursed
152,4848767.41,0.0,0.0,Repaid
153,1929019.45,0.0,0.0,Repaid
154,8479168.75,0.0,0.0,Repaid
155,5300794.61,0.0,0.0,Repaid
156,9909795.85,0.0,1783763.61,Disbursed
157,15131347.69,126484.81,0.0,Repaid
158,6801917.28,0.0,0.0,Repaid
159,33136420.17,0.0,5467508.78,Disbursed
160,32580275.65,184796.61,5831186.8,Disbursed
161,17573763.78,14159.82,3163277.78,Disbursed
162,5093414.72,0.0,916814.76,Disbursed
163,34093823.51,271399.98,6088036.33,Disbursed
164,5509001.29,0.0,0.0,Repaid
165,3428005.08,0.0,0.0,Repaid
166,3971799.33,1858.33,0.0,Repaid
167,10567622.28,0.0,0.0,Repaid
168,1200000.0,0.0,0.0,Repaid
169,66348938.06,0.0,11942808.9,Disbursed
170,1326920.32,0.0,0.0,Repaid
171,13032534.16,0.0,0.0,Repaid
172,15805812.23,0.0,2845046.39,Disbursed
173,1781585.2,6297.39,293961.58,Disbursed
174,8206013.77,0.0,1477082.29,Disbursed
175,2635344.61,18103.69,471103.44,Disbursed
176,3928693.9,0.0,0.0,Repaid
177,3075845.25,0.0,0.0,Repaid
178,1601702.48,0.0,0.0,Repaid
179,2820170.26,910.0,343830.86,Disbursed
180,1779255.7,0.0,320265.78,Disbursed
181,15457954.69,0.0,2782431.93,Disbursed
182,5518888.5,0.0,993399.86,Disbursed
183,36545677.97,0.0,6578222.01,Disbursed
184,21574664.33,2200059.5,3778045.39,Disbursed
185,6086787.25,0.0,0.0,Repaid
186,2759901.36,0.0,0.0,Repaid
